"estimate","lb_ci","ub_ci","calculation","adjust"
6.45649542558181,5.44080070765242,7.4721901435112,"N_pos","unadjusted"
11.996019837907,10.6805428960891,13.3114967797248,"S_pos","unadjusted"
13.0547956514352,11.6635422107864,14.4460490920841,"S_N_pos","unadjusted"
2.90578650135244,2.17775921643404,3.63381378627084,"Negative_Positive","unadjusted"
100,100,100,"Positive_Positive","unadjusted"
7.10566709167548,5.9174746088624,8.29385957448855,"Non_vax","unadjusted"
3.31043179428624,1.5663648776681,5.05449871090439,"Vax","unadjusted"
1.20300813686274,0.769800197257101,1.63621607646838,"S1_neg","unadjusted"
44.9933347523979,39.4143503357888,50.572319169007,"S1_pos","unadjusted"
6.99366433313821,5.84366650126315,8.14366216501327,"N_pos","adjusted"
2.97345285383904,2.14916009694763,3.79774561073045,"Negative_Positive","adjusted"
112.906224030092,112.906224030092,112.906224030092,"Positive_Positive","adjusted"
7.72867456342115,6.38336996060614,9.07397916623616,"Non_vax","adjusted"
3.431603517949,1.45692240821091,5.40628462768708,"Vax","adjusted"
1.04551979210279,0.555029704379214,1.53600987982636,"S1_neg","adjusted"
50.6261465060323,44.3094650564677,56.9428279555969,"S1_pos","adjusted"
12.9162103199845,11.2324468213225,14.5999738186465,"S_N_pos","adjusted"
